 ,全国当前确诊人数,全国累计确诊人数,全国新增确诊人数,全国累计治疗出院人数,全国新增治疗出院人数,全国累计死亡,全国新增死亡,湖北地区累计确诊人数,湖北地区新增人数,湖北地区累计治愈人数,湖北地区新增治愈人数,武汉市累计确诊人数,武汉市新增人数,非湖北地区累计确诊人数,非湖北地区新增人数,非湖北地区累计治愈人数,非湖北地区新增治愈人数
1月21日,431 ,440 ,149 ,,,9 ,3 ,375 ,105 ,,,,,65 ,44 ,,
1月22日,554 ,571 ,131 ,,,17 ,8 ,571 ,196 ,,,,,0 ,,,
1月23日,771 ,830 ,259 ,34 ,,25 ,8 ,,,,,,,0 ,,,
1月24日,1233 ,1287 ,444 ,38 ,4 ,16 ,41 ,,,,,,,830 ,,,
1月25日,1870 ,1975 ,688 ,49 ,11 ,56 ,15 ,1052 ,323 ,42 ,10 ,618 ,46 ,1287 ,365 ,7 ,1 
1月26日,2613 ,2744 ,768 ,51 ,2 ,80 ,24 ,1423 ,371 ,44 ,2 ,698 ,80 ,923 ,397 ,7 ,0 
1月27日,4349 ,4515 ,1771 ,60 ,9 ,106 ,26 ,2714 ,1291 ,47 ,3 ,1950 ,892 ,1321 ,480 ,13 ,6 
1月28日,5739 ,5974 ,1459 ,103 ,43 ,132 ,26 ,3554 ,840 ,80 ,33 ,1905 ,315 ,1801 ,619 ,23 ,10 
1月29日,7417 ,7711 ,1737 ,124 ,21 ,170 ,38 ,4586 ,1032 ,90 ,10 ,2261 ,356 ,2420 ,705 ,34 ,11 
1月30日,9308 ,9692 ,1982 ,171 ,47 ,213 ,43 ,5806 ,1220 ,116 ,26 ,2639 ,378 ,3125 ,762 ,55 ,21 
1月31日,11289 ,11791 ,2102 ,243 ,72 ,259 ,46 ,7153 ,1347 ,166 ,50 ,3215 ,576 ,3886 ,755 ,77 ,22 
2月1日,13748 ,14380 ,2590 ,328 ,85 ,304 ,45 ,9074 ,1921 ,215 ,49 ,4109 ,894 ,4638 ,669 ,113 ,36 
2月2日,16369 ,17205 ,2829 ,475 ,147 ,361 ,57 ,11177 ,2103 ,285 ,80 ,5142 ,1033 ,5306 ,726 ,190 ,67 
2月3日,19381 ,20438 ,3235 ,632 ,157 ,425 ,64 ,13522 ,2145 ,396 ,101 ,6384 ,1242 ,6028 ,1090 ,236 ,56 
2月4日,22942 ,24324 ,3887 ,892 ,262 ,490 ,65 ,16678 ,3156 ,520 ,124 ,8351 ,1967 ,6916 ,731 ,372 ,138 
2月5日,26302 ,28018 ,3694 ,1153 ,261 ,563 ,73 ,19665 ,2987 ,633 ,113 ,10117 ,1766 ,7646 ,707 ,520 ,148 
2月6日,28985 ,31161 ,3143 ,1540 ,387 ,636 ,73 ,22112 ,2447 ,817 ,184 ,11618 ,1501 ,8353 ,696 ,723 ,203 
