 ,全国确诊,全国新增,湖北确诊,湖北新增,武汉确诊,武汉新增,非湖北确诊,非湖北新增
1月21日,440,149,375,105,0,0,65,44
1月22日,571,131,571,196,0,0,0,0
1月23日,830,259,0,0,0,0,0,0
1月24日,1287,444,0,0,0,0,830,0
1月25日,1975,688,1052,323,618,46,1287,365
1月26日,2744,768,1423,371,698,80,923,397
1月27日,4515,1771,2714,1291,1950,892,1321,480
1月28日,5974,1459,3554,840,1905,315,1801,619
1月29日,7711,1737,4586,1032,2261,356,2420,705
1月30日,9692,1982,5806,1220,2639,378,3125,762
1月31日,11791,2102,7153,1347,3215,576,3886,755
2月1日,14380,2590,9074,1921,4109,894,4638,669
2月2日,17205,2829,11177,2103,5142,1033,5306,726
2月3日,20438,3235,13522,2145,6384,1242,6028,1090
2月4日,24324,3887,16678,3156,8351,1967,6916,731
2月5日,28018,3694,19665,2987,10117,1766,7646,707
2月6日,31161,3143,22112,2447,11618,1501,8353,696
2月7日,34560,3399,24953,2841,13603,1985,9049,558
2月8日,37198,2656,27100,2147,14982,1379,9607,509
2月9日,40171,3062,29631,2618,16902,1921,10098,444
2月10日,42638,2478,31728,2097,18454,1522,10540,381
2月11日,44653,2015,33366,1638,19558,1104,10910,377
2月12日,59804,15152,48206,14840,32994,13332,11287,312
2月13日,63851,5090,51986,4823,35991,3910,11598,267
2月14日,66492,2641,54406,2420,37914,1923,11865,221
2月15日,68500,2009,56249,1843,39462,1548,12086,166
2月16日,70548,2048,58182,1933,41152,1690,12251,115
2月17日,72436,1886,59989,1807,42752,1600,12366,79
2月18日,74185,1749,61628,1693,44412,1660,12447,56
2月19日,74576,394,62031,349,45027,615,12557,45
2月20日,75465,889,62662,631,45346,319,12545,258
2月21日,76288,397,63454,366,45660,314,12803,31
2月22日,76936,648,64084,630,46201,541,12834,18
2月23日,77150,409,64287,398,46607,348,12852,11
2月24日,77658,530,64786,499,47071,464,12863,31
2月25日,78064,406,65187,401,47441,370,12872,5
2月26日,78497,433,65596,409,47824,383,12877,24
2月27日,78824,327,65914,318,48137,313,12901,9
2月28日,79251,427,66337,423,48557,420,12910,4
2月29日,79824,573,66907,570,49122,565,12914,3
3月1日,80026,202,67103,196,49315,193,12917,6
3月2日,80151,125,67217,114,49426,111,12923,11
3月3日,80270,119,67332,115,49540,114,12934,4
3月4日,80409,139,67466,134,49671,131,12938,5
3月5日,80552,143,67592,126,49797,126,12943,17
3月6日,80651,99,67666,74,49871,74,12960,25
3月7日,80695,44,67707,41,49912,41,12985,3
3月8日,80735,22,67743,36,49948,36,12988,-14
3月9日,80754,19,67760,17,49965,17,12992,2
3月10日,80778,22,67773,13,49978,13,12994,9
